City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
245,kayangel,8.0823,134.7173,29.0,75,22,7.19,PW,1701955439
246,viqueque,-8.8673,126.3658,27.21,81,100,1.06,TL,1701955442
247,arkhangel'sk,64.5401,40.5433,-26.04,76,0,3.0,RU,1701955444
248,thinadhoo,0.5333,72.9333,26.46,85,100,8.13,MV,1701955445
249,mahdishahr,35.7108,53.3556,8.19,40,85,0.99,IR,1701955447
250,lerwick,60.1545,-1.1494,6.0,66,100,13.24,GB,1701955448
251,torbat-e heydariyeh,35.274,59.2195,11.11,19,8,2.79,IR,1701955449
252,yanam,16.7333,82.2167,24.44,91,88,0.87,IN,1701955451
253,rongelap,11.1635,166.8941,27.63,78,23,10.11,MH,1701955452
254,kremenets,50.0969,25.7246,-4.22,92,87,4.54,UA,1701955453
255,ambodifotatra,-16.9833,49.85,26.46,73,100,7.69,MG,1701955458
256,kapa'a,22.0752,-159.319,24.18,85,20,4.63,US,1701955462
257,akureyri,65.6835,-18.0878,-7.04,93,75,1.54,IS,1701955465
258,vadso,70.0744,29.7487,-11.91,85,75,5.66,NO,1701955470
259,penzance,50.1186,-5.5371,13.38,100,20,6.69,GB,1701955471
260,mitu,1.1983,-70.1733,25.66,82,100,1.08,CO,1701955473
261,gaalkacyo,6.7697,47.4308,32.78,17,100,5.0,SO,1701955474
262,turpan,42.9333,89.1667,2.51,46,22,1.52,CN,1701954908
263,remire-montjoly,4.9167,-52.2667,30.02,70,75,4.12,GF,1701955472
264,gadzhiyevo,69.2551,33.3362,-16.32,98,41,6.09,RU,1701955480
265,karagay,58.2667,54.9368,-32.78,100,7,0.96,RU,1701955484
266,talara,-4.5772,-81.2719,23.42,73,40,8.75,PE,1701955489
267,usinsk,65.9939,57.5281,-26.07,98,100,3.13,RU,1701955491
268,altay,47.8667,88.1167,-15.06,87,50,2.92,CN,1701955492
269,geraldton,-28.7667,114.6,20.23,64,100,7.2,AU,1701955493
270,hithadhoo,-0.6,73.0833,26.77,81,100,4.86,MV,1701955494
271,bengkulu,-3.8004,102.2655,24.84,94,100,1.89,ID,1701955444
272,namibe,-15.1961,12.1522,26.83,71,46,5.04,AO,1701955497
273,fada,9.5667,8.3,34.0,12,72,0.65,NG,1701955498
274,kavaratti,10.5669,72.642,28.33,66,83,3.08,IN,1701955499
275,tobelo,1.7284,128.0095,27.42,81,100,2.02,ID,1701955501
276,iglino,54.8324,56.4126,-21.95,100,7,1.53,RU,1701955502
277,newman,37.3138,-121.0208,7.94,90,35,1.79,US,1701955503
278,vuktyl,63.8567,57.3094,-34.38,100,76,0.45,RU,1701955505
279,monticello,45.3055,-93.7941,-1.12,98,0,0.0,US,1701955507
280,touros,-5.1989,-35.4608,29.94,61,100,5.78,BR,1701955373
281,miles city,46.4083,-105.8406,-1.46,93,0,4.12,US,1701955517
282,ouallam,14.3188,2.0866,34.9,6,72,5.79,NE,1701955519
283,twon-brass,4.3151,6.2418,28.19,75,100,2.49,NG,1701955521
284,nahrin,36.0649,69.1334,11.28,27,100,0.35,AF,1701955522
285,cidade velha,14.9167,-23.6167,27.26,54,75,6.17,CV,1701955523
286,kenai,60.5544,-151.2583,-14.97,85,0,2.57,US,1701955524
287,mugia,43.1041,-9.2179,17.87,89,100,6.69,ES,1701955525
288,plettenberg bay,-34.0527,23.3716,23.88,54,13,2.49,ZA,1701955281
289,goshaingaon,26.4379,89.9788,18.67,84,100,3.68,IN,1701955528
290,yuzhno-kurilsk,44.0306,145.8556,7.43,84,100,4.94,RU,1701955530
291,chinde,26.8418,88.0763,11.3,91,100,1.18,NP,1701955531
292,vylkove,45.4021,29.586,5.0,92,100,6.07,UA,1701955434
293,klaksvik,62.2266,-6.589,6.51,84,34,13.27,FO,1701955535
294,ishigaki,24.3448,124.1572,20.07,68,20,5.14,JP,1701955536
295,tongchuan,35.0806,109.0897,11.32,26,0,1.83,CN,1701955537
296,kenora,49.8167,-94.4337,-0.46,93,75,3.09,CA,1701955539
297,angaur state,6.906,134.13,28.85,75,65,5.69,PW,1701955555
298,murudeshwara,14.0943,74.4845,27.02,70,99,1.71,IN,1701955557
299,tazovsky,67.4667,78.7,-21.14,96,100,5.72,RU,1701955470
300,vilanova i la geltru,41.2239,1.7251,16.89,52,52,2.24,ES,1701955379
301,kiunga,-6.1219,141.2906,23.61,96,69,0.62,PG,1701955566
302,mount darwin,-16.7725,31.5838,33.74,17,0,3.29,ZW,1701955504
303,georgetown,5.4112,100.3354,26.97,91,40,0.51,MY,1701955251
304,manuguru,17.981,80.7547,22.01,91,23,1.92,IN,1701955577
305,bunia,1.5667,30.25,23.54,74,15,1.24,CD,1701955578
306,armacao de buzios,-22.7469,-41.8817,36.03,73,95,5.88,BR,1701955580
307,tadine,-21.55,167.8833,22.73,71,100,5.37,NC,1701955581
308,atafu village,-8.5421,-172.5159,28.79,78,100,3.74,TK,1701955583
309,kasane,-17.8167,25.15,37.23,17,90,2.27,BW,1701955584
310,nkongsamba,4.9547,9.9404,25.29,75,100,1.12,CM,1701955585
311,lihue,21.9789,-159.3672,23.77,82,20,4.63,US,1701955437
312,malvan,16.0667,73.4667,27.01,71,71,4.02,IN,1701955589
313,ngereklmadel,7.4883,134.4856,26.05,89,75,2.06,PW,1701955590
314,codrington,-38.2667,141.9667,11.64,81,100,1.2,AU,1701955347
315,glace bay,46.1969,-59.957,0.68,80,75,6.69,CA,1701955593
316,katabu,-4.9333,122.5167,25.62,87,100,0.72,ID,1701955596
317,chato,-2.6378,31.7669,26.74,55,42,3.0,TZ,1701955599
318,mogadishu,2.0371,45.3438,28.93,79,20,6.69,SO,1701955601
319,santana,-0.0583,-51.1817,30.1,79,40,4.63,BR,1701955602
320,gueckedou,8.6667,-10.25,30.66,39,0,0.47,GN,1701955603
321,nahiyat ash shinafiyah,31.5874,44.6602,25.03,25,100,3.69,IQ,1701955605
322,buka,40.8108,69.1986,7.82,53,100,1.87,UZ,1701955606
323,ocean shores,46.9737,-124.1563,8.86,98,100,3.6,US,1701955610
324,kencong,-8.2833,113.3667,26.9,82,100,0.59,ID,1701955611
325,ambon,-3.6954,128.1814,26.08,94,40,2.06,ID,1701955613
326,kerikeri,-35.2268,173.9474,16.06,88,100,1.74,NZ,1701955614
327,beyneu,45.3167,55.2,0.74,66,100,7.65,KZ,1701955615
328,kamin-kashyrskyi,51.6241,24.9586,-4.7,89,100,4.37,UA,1701955617
329,orizona,-17.0314,-48.2958,30.5,32,0,5.08,BR,1701955618
330,hwange,-18.3693,26.5019,38.93,19,47,3.22,ZW,1701955621
331,hastings,50.8552,0.5729,8.77,79,100,11.56,GB,1701955624
332,katrineholm,58.9959,16.2072,-2.06,99,100,2.36,SE,1701955625
333,sao vicente,-23.9631,-46.3919,36.1,49,20,2.57,BR,1701955626
334,mashhad,36.297,59.6062,14.08,47,68,2.06,IR,1701955442
335,hengchun,22.0042,120.7439,22.36,66,100,10.24,TW,1701955628
336,jayapura,-2.5333,140.7,25.66,89,94,3.88,ID,1701955629
337,dunedin,-45.8742,170.5036,11.0,81,95,1.34,NZ,1701955631
338,nova vicosa,-17.8919,-39.3719,29.18,61,98,3.85,BR,1701955632
339,cheongsong gun,36.4335,129.057,3.03,70,20,1.38,KR,1701955633
340,floro,61.5996,5.0328,5.54,75,40,5.14,NO,1701955634
341,veinticinco de mayo,-35.4323,-60.1727,17.37,78,100,3.9,AR,1701955636
342,wewak,-3.5534,143.6268,27.01,87,100,5.13,PG,1701955637
343,meulaboh,4.1363,96.1285,25.52,87,100,1.66,ID,1701955638
344,punta arenas,-53.15,-70.9167,11.06,62,75,6.69,CL,1701955402
345,road town,18.4167,-64.6167,29.02,74,20,0.0,VG,1701955641
346,lemay,38.5334,-90.2793,6.98,76,0,3.09,US,1701955644
347,van buren,35.4368,-94.3483,5.68,79,0,2.06,US,1701955645
348,cedar city,37.6775,-113.0619,5.22,56,0,5.66,US,1701955647
349,baardheere,2.3446,42.2764,35.5,23,16,3.05,SO,1701955648
350,kingston,17.997,-76.7936,30.53,73,20,4.12,JM,1701955649
351,murghob,38.1702,73.9667,-11.94,68,85,1.89,TJ,1701955651
352,morant bay,17.8815,-76.4093,30.79,81,44,5.8,JM,1701955653
353,malango,-2.9627,119.9001,20.9,99,100,0.84,ID,1701955655
354,mersa matruh,31.3525,27.2453,23.11,35,0,5.66,EG,1701955657
355,kabanjahe,3.1001,98.4908,18.36,95,100,0.24,ID,1701955658
356,polyarnyy,69.1989,33.4478,-15.51,96,26,6.17,RU,1701955514
357,caconda,-13.7333,15.0667,26.33,48,94,2.87,AO,1701955661
358,enriquillo,17.9,-71.2333,25.82,75,96,3.93,DO,1701955662
359,badger,64.8,-147.5333,-13.07,83,75,0.0,US,1701955435
360,salinas,36.6777,-121.6555,8.89,93,0,2.06,US,1701955665
361,antalaha,-14.9003,50.2788,29.14,67,99,7.08,MG,1701955667
